adgroup_id,pctr,ctr,smart_optimization_goal,second_goal,roi_goal,smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,industry_factor_adjust_pcvr,exposure_cnt,click_cnt,trace_cnt,active_num,fraud_type,valid_exposure_cnt,valid_click_cnt
3421036123,77670999040,\N,204,0,6,0,0,0,0,0,0,6,0,0,0,0
3421036123,66893999104,0,204,0,6,0,0,0,0,6,0,0,0,1,0,0
3464886018,812562001408,0,204,0,6,0,0,0,0,43,0,0,0,0,43,0
3464886018,15104000000,\N,204,0,6,9085,0,0,0,0,1,0,0,1,0,0
3464886018,48623001600,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3472227269,131755999232,\N,204,0,6,0,0,0,0,0,0,4,0,0,0,0
3374838258,6349000192,\N,204,0,6,16678,0,0,0,0,1,0,0,1,0,0
3470645438,76429998080,\N,204,0,6,0,0,0,0,0,0,10,0,0,0,0
3431293787,21123199996416,0,204,0,0,0,0,0,0,1653,0,0,0,0,1653,0
3477792295,178199993216,0,204,0,6,0,0,0,0,4,0,0,0,0,4,0
3475605830,11882000384,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3421036135,0,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3332988500,3000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3476199986,13601000320,0,204,0,6,0,0,0,0,4,0,0,0,0,4,0
3475107146,297265004544,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3411856411,4704924090368,0,204,0,6,0,0,0,0,9,0,0,0,0,9,0
3338731585,27027423248384,\N,204,0,0,0,0,0,0,0,0,59,0,0,0,0
3460856522,1614536007680,0,204,0,0,0,0,0,0,7,0,0,0,0,7,0
3460856522,440652988416,\N,204,0,0,1670,2129,1.2752492427825928,1670,0,1,0,0,0,0,1
3460934562,2119107035136,\N,204,0,6,0,0,0,0,0,0,5,0,0,0,0
3374838258,1376999936,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3305017826,127361000448,0,204,0,6,0,0,0,0,7,0,0,0,0,7,0
3338731585,12851999744,0,204,0,0,0,0,0,0,2,0,0,0,0,2,0
3408766526,4591000064,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3408766526,11057000448,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3421036123,84715999488,0,204,0,6,0,0,0,0,9,0,0,0,0,9,0
3305017826,3640000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464021784,679241015296,\N,204,0,6,32763,32763,2,32763,0,2,0,0,0,0,2
3464021784,44091000832,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3431293787,9384999936,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3476199986,24777000960,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3476199986,308645988352,\N,204,0,6,0,0,0,0,0,0,13,0,0,0,0
3460934562,548756000768,0,204,0,6,0,0,0,0,30,0,0,0,0,30,0
3411856411,3835000064,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3411856411,39185000960,\N,204,0,6,0,0,0,0,0,0,5,0,0,0,0
3338731585,42074999808,1000000,204,0,0,12604,15659,1.2423968315124512,13940.4365234375,1,1,0,0,0,1,1
3464021784,5788078999040,0,204,0,6,0,0,0,0,189,0,0,0,0,189,0
3464021784,562421997056,0,204,0,6,0,0,0,0,24,0,0,0,0,24,0
3464021784,56713998336,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3338731585,9712000000,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3421036123,603822030848,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3461099948,392808988672,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3421036123,120842000896,0,204,0,6,0,0,0,0,12,0,0,0,0,12,0
3421036166,9102999552,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3374838258,5082999808,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3431293787,30979999744,0,204,0,0,0,0,0,0,2,0,0,0,0,2,0
3411856411,17523000192,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3464021784,19483000832,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464886018,13694000128,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464886018,753393988608,0,204,0,6,0,0,0,0,34,0,0,0,0,34,0
3477205781,14613000192,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3431293787,2332943932416,\N,204,0,0,0,0,0,0,0,0,39,0,0,0,0
3467524490,3964000000,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3470251687,20468000768,\N,204,0,0,0,0,0,0,0,0,1,0,0,0,0
3473430565,114750997504,0,204,0,0,0,0,0,0,6,0,0,0,0,6,0
3421036166,999018004480,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3472227269,2533341069312,\N,204,0,6,0,0,0,0,0,0,3,0,0,0,0
3431293787,98395996160,\N,204,0,0,0,0,0,0,0,0,1,0,0,0,0
3467902988,37169000448,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3470645475,61515001856,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
