process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,vc_pcvr_bias,valid_exposure_cnt,valid_click_cnt,active_num,real_cost_micros,single_gmv,gmv
20210605,60704472578903,TME,1,10,0,0,0,0,0,0.0,0,0,128,0.0,2329.4700000000003,2329.4700000000003
20210605,70601378118790,TME,0,205,0,385832234986944,192830,133508,0,4437.765840172768,20389,328,0,324.27257,0.0,0.0
20210605,10600415585766,IEG,0,7,0,2554059995328,3000000,3000000,0,3.0,419,3,0,9.400199999999998,0.0,0.0
20210605,70304481261296,TME,1,104,204,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,10604328256510,TME,0,10,0,3348306382851072,58134478,59344039,0,3301.3369566202164,82655,3180,0,1318.0499200000004,0.0,0.0
20210605,90704445965875,未分组1,0,104,105,1245213001728,39205,50722,50642,2.36469566822052,24,2,0,0.22,0.0,0.0
20210605,30208368992837,TKD,0,412,0,18604000320,0,0,0,0.0,3,0,0,0.049999999999999996,0.0,0.0
20210605,60608308136142,IEG,0,104,10801,5263180299771072,645665061,645997392,88323590,5882.94573828578,419651,4971,53,79925.24902000003,2400.0,4800.0
20210605,50206368215858,IEG,0,301,0,1426134013184,0,0,0,0.0,46,0,0,4.53,0.0,0.0
20210605,50604428212896,TKD,0,104,204,13108805350678784,137716392,138727684,10837712,13824.422033131123,1083238,13148,6,1747.43509,163.25,326.5
20210605,40504400147134,阅文系,1,104,106,0,0,0,0,0.0,0,0,257,0.0,11300.15,22666.3
20210605,80904328951508,TME,0,315,405,335793008640,812870,812870,48898,2.0,4,2,0,0.89,0.0,0.0
20210605,50807530695352,TME,0,409,0,153989996544,2,4416,0,1819.9271240234375,2,1,0,0.16,0.0,0.0
20210605,20209449293196,TME,1,205,0,0,0,0,0,0.0,0,0,1,0.0,245.0,245.0
20210605,50906420844971,IEG,1,104,106,0,0,0,0,0.0,0,0,2,0.0,301.0,602.0
20210605,70809455792733,CSIG,0,104,106,148258999552,0,0,0,0.0,15,0,0,0.16,0.0,0.0
20210605,10509414896986,IEG,0,7,204,65926000640,0,0,0,0.0,1,0,0,0.0,0.0,0.0
20210605,30005422732564,其他,0,405,0,1569121518244928,21173912,23982277,0,1899.410558193922,109089,1538,0,3554.9595400000003,0.0,0.0
20210605,50604428212896,TKD,0,315,0,49702676894957184,11669234230,11877045906,0,61680.046163618565,3244193,51717,515,16647.06301000001,479.46999999999997,479.46999999999997
20210605,70506421868294,TKD,1,301,205,0,0,0,0,0.0,0,0,19,0.0,34.56,69.12
20210605,50002495342288,TME,1,315,0,0,0,0,0,0.0,0,0,96,0.0,92.31,92.31
20210605,90603469797199,TME,0,405,0,99139526029184,732492,742174,0,146.60262405872345,6051,95,0,104.12795999999999,0.0,0.0
20210605,90301475842282,TME,0,205,0,53072346045376,25323,30921,0,227.77215495705605,3432,25,0,33.73073000000001,0.0,0.0
20210605,50106403385474,IEG,0,405,205,18030999808,0,0,0,0.0,4,0,0,0.16,0.0,0.0
20210605,70609460544983,IEG,1,301,108,0,0,0,0,0.0,0,0,1,0.0,70.0,140.0
20210605,60704472578903,TME,0,204,108,2064119986048,7518,7517,162,3.9983935356140137,264,4,0,1.2522,0.0,0.0
20210605,60005012352827,TKD,1,104,10801,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40706426556602,未分组1,0,405,204,2457077999616,95,95,326,2.0,31,2,0,0.08947999999999998,0.0,0.0
20210605,10309012621387,QQ系,0,104,315,13609090193019520,950922209,959871323,1272881293,12946.369515836239,350255,12809,432,6566.1204099999995,14754.1,29508.2
20210605,30607480914543,阅文系,1,106,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,70405412545955,IEG,0,405,205,74305433102720,2533331,2514948,430831,97.29799902439117,2712,98,0,201.78268,0.0,0.0
20210605,60005012352827,QQ系,0,121,0,24820447955456,172835,172835,0,28.0,724,28,0,2.43,0.0,0.0
20210605,70506421868294,TKD,0,104,204,10431596045530560,501918472,504627805,150493084,10621.920116946101,596379,10462,63,13729.526310000001,2565.8,5131.6
20210605,90100326256701,IEG,0,302,0,264080099129344,113509818,113428540,0,265.94944101572037,4978,266,0,44.22,0.0,0.0
20210605,40701410311452,QQ系,1,205,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,90301475842282,TME,0,204,108,2434817003520,0,0,0,0.0,130,0,0,0.43025,0.0,0.0
20210605,70707452477964,阅文系,0,107,0,2253286997952,16651,30656,0,11.057372093200684,180,2,0,0.8400000000000001,0.0,0.0
20210605,60303415282763,IEG,1,405,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40903398619789,TME,0,402,0,2912166990272,130535,115658,0,5.311021864414215,158,6,0,4.890000000000001,0.0,0.0
20210605,10907511528330,TME,1,302,0,0,0,0,0,0.0,0,0,23,0.0,10.04,10.04
20210605,40504315369553,TME,0,104,10601,4169271046656,2736,2763,0,5.071632385253906,30,5,0,0.06,0.0,0.0
20210605,70204561021014,IEG,1,405,204,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,50604428212896,TKD,1,10801,0,0,0,0,0,0.0,0,0,97,0.0,67518.06,67518.06
20210605,70702022115052,其他,0,204,0,1519243958272,181,172,0,0.9490110874176025,7,1,0,0.02,0.0,0.0
20210605,10506450549984,IEG,0,104,108,1329552000320,1896,1896,3660,1.0,171,1,0,0.69,0.0,0.0
20210605,20105445936502,未分组1,0,105,10801,444540996352,0,0,0,0.0,64,0,0,7.17,0.0,0.0
20210605,70601378118790,TME,0,204,0,5615962672242880,68312108,71753646,0,14049.196147322655,267773,5199,0,6677.674550000004,32710.0,32710.0
20210605,50605442246954,IEG,1,104,0,0,0,0,0,0.0,0,0,248,0.0,6702.32,6702.32
20210605,10600415585766,IEG,0,105,0,287553871028224,21072365,20917359,0,269.2678872346878,48925,257,8,1610.0958099999991,507.98,507.98
20210605,50308424081820,TME,1,104,10801,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0
20210605,50002495342288,TME,0,105,0,57830831963712,174536,174470,0,38.975409507751465,2462,39,0,12.035689999999999,0.0,0.0
20210605,50807530695352,TME,0,104,106,8470357127820736,242394130,246180382,53427401,8157.375127851963,117617,7354,9,3086.5289499999994,440.08,880.16
20210605,80605561822013,IEG,0,204,205,8418999808,0,0,0,0.0,1,0,0,0.0,0.0,0.0
20210605,70702022115052,TKD,0,204,108,1741517899848896,21845006,21926323,2114235,1641.54802942276,328420,1629,0,4719.829519999998,0.0,0.0
20210605,10309012621387,QQ系,1,204,108,0,0,0,0,0.0,0,0,47,0.0,9690.0,19380.0
20210605,70100221174573,CSIG,0,402,0,8214181004608,26245,13522,0,4.018646329641342,296,5,0,0.57319,0.0,0.0
20210605,30607480914543,阅文系,1,405,205,0,0,0,0,0.0,0,0,24,0.0,832.27,1664.54
20210605,30607480914543,阅文系,1,205,0,0,0,0,0,0.0,0,0,3,0.0,118.68,118.68
20210605,40106476583359,阅文系,1,104,105,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,20306444885088,IEG,0,405,204,3380214004800,51528,51528,51362,3.0,2222,3,0,7.779999999999994,0.0,0.0
20210605,70803405454129,CSIG,1,104,105,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,30506472073904,TME,0,302,119,534129000064,1394,1394,0,1.0,33,1,0,0.16999999999999998,0.0,0.0
20210605,20906306793614,TKD,1,10801,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,60304476255988,未分组1,0,205,0,1483099002368,30872,37775,0,2.3332678079605103,40,2,0,12.590629999999999,0.0,0.0
20210605,50604428212896,TKD,0,402,0,848569096865792,3444427,3390629,0,9178.952879309654,78448,954,0,89.63340000000001,0.0,0.0
20210605,60402262989318,CSIG,1,405,204,0,0,0,0,0.0,0,0,10,0.0,2607.06,5274.75
20210605,20102414297987,IEG,0,104,106,4960084731814912,788907107,792094081,242778121,4977.507760107517,333012,4835,13,12664.135869999998,213.23,426.46
20210605,30302471412393,QQ系,0,104,10801,98706114992192,1156240,1148510,124892,82.65723615884781,19192,83,0,197.05812999999995,0.0,0.0
20210605,80303373095787,QQ系,1,405,205,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0
20210605,50002495342288,TME,0,104,0,425723188220096,8728715,8540081,0,569.2653858959675,16488,518,0,190.56833,0.0,0.0
20210605,10604328256510,TME,0,405,0,201550157880832,1037663,998450,0,750.7150741815567,4936,240,0,88.68041000000001,0.0,0.0
20210605,50104416453989,未分组1,0,105,106,100296999936,0,0,0,0.0,6,0,0,0.39,0.0,0.0
20210605,30506472073904,TME,1,7,204,0,0,0,0,0.0,0,0,0,0.0,50.4,100.8
20210605,30506472073904,TME,1,409,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,90903124471793,其他,0,315,403,1386816999424,0,0,0,0.0,19,0,0,0.0,0.0,0.0
20210605,10600415585766,IEG,1,104,10801,0,0,0,0,0.0,0,0,82,0.0,6615.88,13231.76
20210605,30607480914543,阅文系,1,315,403,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,10509414896986,IEG,0,301,0,17215138009664,974630,1007999,0,196.47105407714844,1197,8,0,18.38999999999999,0.0,0.0
20210605,80909368092923,IEG,1,204,0,0,0,0,0,0.0,0,0,14,0.0,1714.25,1714.25
20210605,40903398619789,TME,1,409,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,80904328951508,TME,1,405,205,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,80304215099367,CSIG,0,302,204,213273000448,0,0,0,0.0,10,0,0,0.0,0.0,0.0
20210605,60005012352827,QQ系,1,409,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,50901413830594,IEG,1,405,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40504315369553,TME,1,10010,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40807403425677,应用宝,0,104,0,2066986738991744,552971479,554269579,0,2343.7988864183426,38296,2326,0,7727.00023,0.0,0.0
20210605,70609460544983,IEG,0,104,10601,5190000192,0,0,0,0.0,2,0,0,0.0,0.0,0.0
20210605,40504315369553,未分组1,0,204,108,2835000064,0,0,0,0.0,1,0,0,0.010799999999999999,0.0,0.0
20210605,40301325569554,TME,1,205,0,0,0,0,0,0.0,0,0,2,0.0,200.55,200.55
20210605,70702022115052,TKD,0,315,0,52605190183857728,24498512671,24666521240,0,53723.48276031017,4657431,51864,508,56668.03687000001,745.36,745.36
20210605,50604428212896,TKD,1,405,205,0,0,0,0,0.0,0,0,50,0.0,4064.88,8129.76
20210605,90903124471793,其他,0,405,205,1486823006720,0,0,0,0.0,50,0,0,0.0,0.0,0.0
20210605,70908422871965,阅文系,0,315,403,3018214990592,22711,22711,0,1.0,74,1,0,0.03,0.0,0.0
20210605,90704445965875,IEG,0,108,0,581278001152,1813,1813,0,1.0,13,1,0,0.16,0.0,0.0
20210605,20900420119451,QQ系,0,104,106,91050267958912,620959,628448,164380,76.59359657764435,18362,74,0,49.833659999999995,0.0,0.0
20210605,30302471412393,QQ系,0,104,315,11579637996992,1101144,1101509,1905797,14.01631784439087,1719,14,1,7.67458,0.0,0.0
20210605,30302471412393,QQ系,1,105,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,50007452537563,其他,0,108,0,88062001152,0,0,0,0.0,2,0,0,0.0,0.0,0.0
20210605,70609460544983,IEG,1,7,204,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,70905490183934,IEG,1,104,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,90503492650537,IEG,1,105,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40706426556602,未分组1,1,302,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,30607480914543,阅文系,0,302,318,324934000128,0,0,0,0.0,32,0,0,0.0,0.0,0.0
20210605,40106476583359,未分组1,1,104,204,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0
