process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,pcvr_bias,exposure_cnt,click_cnt,cost,gmv
20210605,90903124471793,其他,1,104,315,0.0,0,0,0.0,0.0
20210605,20201368893836,TKD,0,315,405,0.0625,66,1,2.7999999999999997E-7,0.0
20210605,40301325569554,TME,0,405,0,0.5201331779261024,1279920,15373,0.026173133260000002,0.0
20210605,10309012621387,QQ系,0,104,204,0.34683577632913687,131239,3525,0.0021509668899999997,420.6
20210605,80904328951508,TME,1,405,0,0.0,0,0,0.0,354.63
20210605,10309012621387,QQ系,0,315,405,0.16666666666666666,10,1,1.0E-8,0.0
20210605,30806358632143,IEG,0,10010,0,0.0,3,0,0.0,0.0
20210605,60508439594416,TME,0,204,108,0.0,62,0,3.816069999999999E-6,0.0
20210605,30800591023329,TME,0,105,204,0.14285714285714285,13,1,4.903399999999999E-7,0.0
20210605,70608348419857,IEG,1,104,315,0.0,0,0,0.0,0.0
20210605,90503492650537,IEG,0,107,0,0.08366534244491759,1437,11,1.83E-5,0.0
20210605,20604530875002,TME,1,104,108,0.0,0,0,0.0,0.0
20210605,70006563700470,TME,0,405,205,0.6838028386250334,8380,674,2.0208365000000001E-4,0.0
20210605,50807530695352,TME,1,302,205,0.0,0,0,0.0,0.0
20210605,10309012621387,QQ系,0,315,204,0.10397593346421861,4248,349,3.595399999999999E-4,0.0
20210605,40903398619789,TME,0,105,108,0.07142857142857142,13,1,1.22E-6,0.0
20210605,60608308136142,IEG,1,302,0,0.0,0,0,0.0,88.72
20210605,70601378118790,TME,1,107,0,0.0,0,0,0.0,0.0
20210605,20805465563596,QQ系,0,302,0,0.5009157598703757,77244,654,7.907468000000002E-5,0.0
20210605,30607480914543,阅文系,0,119,0,371.5030517578125,4,1,2.0E-8,0.0
20210605,70804376351702,IEG,0,315,0,0.0,5,0,0.0,0.0
20210605,60807476850604,TKD,0,405,403,0.05,83,1,4.759999999999999E-6,0.0
20210605,40701491823377,CSIG,1,104,0,0.0,0,0,0.0,0.0
20210605,10907511528330,TME,0,104,0,0.10122014401869643,16414,534,1.8011997999999997E-4,88.6
20210605,40504400147134,阅文系,0,409,0,0.0,5,0,5.8E-7,0.0
20210605,20102414297987,IEG,1,105,108,0.0,0,0,0.0,0.0
20210605,30800591023329,TME,0,205,0,3.4938584443826266,3916,57,3.535296999999998E-5,0.0
20210605,70506421868294,TKD,0,315,204,0.1584223868067825,65899,1058,8.467951699999998E-4,0.0
20210605,30208368992837,TKD,0,405,205,0.09560313860653645,24280,300,1.7984076999999997E-4,0.0
20210605,70204561021014,IEG,0,405,205,0.0,9,0,1.6E-7,0.0
20210605,30206388181212,IEG,0,105,0,0.0,43,0,2.42E-6,0.0
20210605,40706426556602,QQ系,1,121,0,0.0,0,0,0.0,2945.0
20210605,40106476583359,阅文系,0,205,0,3.2191962112088097,1030,14,2.99E-6,0.0
20210605,50308424081820,TME,1,405,204,0.0,0,0,0.0,1883.68
20210605,90100326256701,IEG,0,204,407,0.0,1,0,0.0,0.0
20210605,70702022115052,TKD,0,301,403,0.0,8,0,0.0,0.0
20210605,70707452477964,阅文系,0,315,0,0.4267108715313102,17890,534,7.298325999999997E-5,0.0
20210605,30806358632143,IEG,1,105,0,0.0,0,0,0.0,3537.6900000000005
20210605,70707452477964,阅文系,1,402,0,0.0,0,0,0.0,0.0
20210605,70304481261296,TME,1,301,205,0.0,0,0,0.0,0.0
20210605,80605561822013,IEG,1,104,0,0.0,0,0,0.0,0.0
20210605,70609460544983,IEG,1,105,10801,0.0,0,0,0.0,1665.04
