process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,80303373095787,QQ系,0,402,10009,298115006464,0,0,0.0,2,0,0,0,0.29000000000000004,0.0
20210605,10309012621387,QQ系,0,104,0,1060618033171515328,23948458627,24256548980,1219248.3486828804,45662126,1037967,15062104,12146,546821.8282299994,271451.96
20210605,40706426556602,QQ系,0,302,106,2970837374944128,2426096635,2426881703,3536.9611053466797,88840,3536,34,4,30.05031,0.0
20210605,50807530695352,TME,1,301,0,0,0,0,0.0,0,0,27611,2256,0.0,2018.34
20210605,50807530695352,TME,0,302,0,181798691077632,706499,701851,165.58184045553207,1181,164,0,0,38.76996999999999,0.0
20210605,20209449293196,TME,1,315,0,0,0,0,0.0,0,0,1419,168,0.0,58.28
20210605,40106476583359,未分组1,0,205,0,14990168048512,3528,10740,28.944847583770752,314,9,0,0,26.750000000000004,0.0
20210605,60003454983821,TME,0,301,205,1356052997632,483569,483569,2.0,33,2,0,0,0.19,0.0
20210605,40301325569554,TME,1,104,10801,0,0,0,0.0,0,0,7404,101,0.0,13649.58
20210605,40504400147134,阅文系,0,105,204,503992997568,0,0,0.0,67,0,0,0,1.3699999999999999,0.0
20210605,70800426750600,QQ系,1,10801,0,0,0,0,0.0,0,0,45597,19,0.0,20236.3
20210605,90205493587472,IEG,1,104,106,0,0,0,0.0,0,0,74,0,0.0,0.0
20210605,40106476583359,阅文系,0,409,0,147296001024,0,0,0.0,47,0,0,0,0.19,0.0
20210605,40809434919914,CSIG,1,104,106,0,0,0,0.0,0,0,21,0,0.0,0.0
20210605,90603469797199,TME,0,105,0,12046924004288,458470,457684,15.868218302726746,833,16,0,0,26.04828,0.0
20210605,70702022115052,TKD,0,205,0,99758876718370944,837424999,775469544,551455.6921557784,3467477,90746,2,0,233598.38705999998,0.0
20210605,70702022115052,TKD,1,104,105,0,0,0,0.0,0,0,1536646,3602,0.0,159519.18000000002
20210605,70506421868294,TKD,1,204,205,0,0,0,0.0,0,0,13569,42,0.0,13600.0
20210605,10406450945135,阅文系,0,302,205,418713000896,0,0,0.0,89,0,0,0,0.0,0.0
20210605,30208368992837,TKD,0,105,10801,13635244995456,301660,311829,1519.215445280075,2405,9,0,0,101.24892000000001,0.0
20210605,70707452477964,阅文系,1,7,0,0,0,0,0.0,0,0,5604,0,0.0,0.0
20210605,10005398496922,IEG,0,301,108,6870930000896,8497855,8497855,15.0,411,15,0,0,5.969999999999999,0.0
20210605,60303415282763,IEG,1,104,105,0,0,0,0.0,0,0,44,1,0.0,0.0
20210605,40106476583359,未分组1,1,105,108,0,0,0,0.0,0,0,143,0,0.0,0.0
20210605,60305460411544,阅文系,1,301,204,0,0,0,0.0,0,0,115,20,0.0,0.0
20210605,50106403385474,IEG,0,10,0,94791999872,0,0,0.0,10,0,0,0,0.21,0.0
20210605,80304215099367,CSIG,0,10801,0,11107678003584,32633,35025,13.47914981842041,653,5,0,0,12.069999999999993,0.0
20210605,40903398619789,TME,0,302,0,9528090162468736,3780820426,3782386734,9785.439150214195,394561,9780,0,0,1590.9932100000003,0.0
20210605,40106476583359,阅文系,1,405,204,0,0,0,0.0,0,0,9,0,0.0,0.0
20210605,40903398619789,TME,1,406,0,0,0,0,0.0,0,0,1,0,0.0,0.0
20210605,30607480914543,阅文系,1,412,0,0,0,0,0.0,0,0,16,0,0.0,0.0
20210605,30605462917931,IEG,1,105,0,0,0,0,0.0,0,0,10,0,0.0,0.0
20210605,70905490183934,IEG,1,104,10801,0,0,0,0.0,0,0,2,1,0.0,0.0
20210605,40504400147134,阅文系,0,104,204,368294627928448,14244711,14192417,328.43830370903015,18453,327,6,2,372.5023400000001,0.0
20210605,20306444885088,IEG,0,104,0,81752392983680,1540910,1590492,91.26921844482422,18750,61,3,1,40.201999999999984,26.1
20210605,40701410311452,QQ系,1,104,0,0,0,0,0.0,0,0,12067,24,0.0,496.44
20210605,50605442246954,IEG,0,105,106,33165600949056,4382522,4540802,34.84293031692505,1253,34,0,0,131.75418,0.0
20210605,50605442246954,IEG,0,409,0,86292996864,0,0,0.0,4,0,0,0,1.02,0.0
20210605,50308424081820,TME,1,405,0,0,0,0,0.0,0,0,95615,27,0.0,3114.0099999999998
20210605,50308424081820,TME,0,406,0,288020998144,0,0,0.0,5,0,0,0,0.10999999999999999,0.0
20210605,50002495342288,TME,1,315,204,0,0,0,0.0,0,0,5,0,0.0,0.0
20210605,70609460544983,IEG,0,104,204,11546426000320,465887,465887,6.0,3836,6,3,2,20.209999999999994,84.0
20210605,10406450945135,阅文系,0,204,0,88879301013056,2357626,2338419,293.2506101131439,14045,86,237,0,318.67478000000006,800.0
20210605,10506450549984,IEG,0,405,108,2816230989952,4290,3898,0.9086654186248779,439,1,0,0,2.2576499999999995,0.0
20210605,80904328951508,TME,1,104,0,0,0,0,0.0,0,0,295599,946,0.0,8380.11
20210605,70608348419857,IEG,0,105,10801,80274674006144,10808571,10808044,61.990738689899445,5532,62,0,0,2607.149999999999,0.0
20210605,40903398619789,TME,0,104,10010,260599994368,0,0,0.0,7,0,0,0,0.01,0.0
20210605,10604328256510,TME,0,405,205,26312046951424,239917,239917,34.0,521,34,0,0,6.897749999999997,0.0
20210605,70006563700470,TME,1,405,205,0,0,0,0.0,0,0,4827,2,0.0,0.0
20210605,30602476557982,CSIG,1,204,0,0,0,0,0.0,0,0,708,0,0.0,0.0
