process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,30005422732564,其他,0,104,0,13422,177,0,0,182941381915776,9213556,0,556.3374599999997,0.0,0.0
20210605,70204561021014,IEG,0,104,0,144,19,1,0,4277510003712,558616,0,9.719999999999995,16.0,0.0
20210605,70800426750600,QQ系,1,104,0,0,0,2811,0,0,0,0,0.0,53462.770000000004,0.0
20210605,60305460411544,阅文系,0,104,0,1996719,17490,64,0,19276608609493568,168566026,0,8052.530399999995,1715.0900000000001,0.0
20210605,40106476583359,未分组1,0,104,0,40759,2225,30,0,2514961513783936,69218302,1533,1179.1522100000002,597.77,0.0
20210605,60003454983821,TME,1,104,0,0,0,51,0,0,0,0,0.0,1617.59,0.0
20210605,70803405454129,CSIG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,30208368992837,TKD,0,104,0,186991,7354,2,0,7674681834552960,68744813,953,2226.2900099999993,183.5,0.0
20210605,10707405966597,QQ系,0,104,0,335525,5684,0,0,7240699830976192,22298473,0,821.7317699999995,0.0,0.0
20210605,40903398619789,TME,1,104,0,0,0,1252,0,0,0,0,0.0,14077.21,0.0
20210605,70908422871965,阅文系,0,104,0,196432,13580,15,0,14712241460433152,266515933,0,5400.759800000002,195.0,0.0
20210605,40500499589058,IEG,0,104,0,2,0,0,0,16640999936,0,0,0.05,0.0,0.0
20210605,90805444657273,CSIG,0,104,0,13,2,0,0,3068962029568,31108,0,0.13,0.0,0.0
20210605,70905490183934,IEG,0,104,0,1870,30,1,0,26666345024384,1116902,0,58.72000000000003,16.0,0.0
20210605,80304215099367,CSIG,0,104,0,8085,203,0,0,223135592961024,4321191,0,102.16698,0.0,0.0
20210605,10313307588683,QQ系,0,104,0,2,0,0,0,20914999296,0,0,0.01745,0.0,0.0
20210605,40504315369553,TME,0,104,0,8354048,165411,664,0,166157747948464320,6643255587,222933,131684.26249999992,10321.39,0.0
20210605,60704472578903,TME,0,104,0,952849,12148,5,0,13061018227809920,135601588,334,4499.970960000007,80.0,0.0
20210605,10309012621387,QQ系,1,104,0,0,0,19181,0,0,0,0,0.0,373599.2199999999,0.0
20210605,40706426556602,未分组1,1,104,0,0,0,3,0,0,0,0,0.0,17.79,0.0
20210605,50007452537563,其他,0,104,0,2778,149,0,0,127973141087232,4879110,0,62.15000000000002,0.0,0.0
20210605,90301475842282,TME,0,104,0,53818,920,1,0,1139515828037248,16372249,0,324.4293600000002,13.0,0.0
20210605,40504400147134,阅文系,1,104,0,0,0,214,0,0,0,0,0.0,5113.42,0.0
20210605,70804376351702,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,30506472073904,TME,0,104,0,2515807,18381,62,0,19791068684327232,510182689,13526,6853.886660000001,1110.29,0.0
20210605,50605442246954,IEG,0,104,0,280940,4272,47,0,4615252397730240,352468480,4491,9614.74128,897.71,0.0
20210605,80904328951508,TME,1,104,0,0,0,962,0,0,0,0,0.0,8809.41,0.0
20210605,90205493587472,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,40109452819930,IEG,1,104,0,0,0,1,0,0,0,0,0.0,16.3,0.0
20210605,50807530695352,TME,1,104,0,0,0,138,0,0,0,0,0.0,2248.25,0.0
20210605,20102414297987,IEG,1,104,0,0,0,74,0,0,0,0,0.0,1917.63,0.0
20210605,90100326256701,IEG,1,104,0,0,0,8,0,0,0,0,0.0,237.25,0.0
20210605,50901413830594,IEG,1,104,0,0,0,2,0,0,0,0,0.0,22.79,0.0
20210605,70601378118790,TME,1,104,0,0,0,61,0,0,0,0,0.0,3732.5600000000004,0.0
20210605,50906420844971,IEG,0,104,0,3354,41,2,0,41833540007040,5536501,0,218.24000000000018,81.0,0.0
20210605,70006491319394,QQ系,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,10309012621387,QQ系,0,104,0,45662786,1037970,12569,0,1060619204313510336,24256548980,364836,546821.8648999991,277514.50000000006,0.0
20210605,20102414297987,IEG,0,104,0,105861,1355,15,0,1395282436657664,105640821,0,2614.0148699999995,408.98,0.0
20210605,60005012352827,QQ系,1,104,0,0,0,8467,0,0,0,0,0.0,148336.82,0.0
20210605,50609444954277,CSIG,0,104,0,406014,2018,0,0,2403609822095488,127114183,0,3194.78226,0.0,0.0
