process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,click_gmv,no_click_gmv
20210605,90100470046973,7010554729938525,405,205,2,0,0,0,29092999680,0,0,0.02,0.0,0.0,0.0,0.0
20210605,40706426556602,6020954314138204,105,204,140,9,0,0,6659294994944,164108,25224,4.45745,0.0,0.0,0.0,0.0
20210605,30806358632143,1020265958455158,104,10801,7518,116,15,2,126955648904960,11245539,1992724,3087.5069999999982,0.0,2088.0,888.0,1200.0
20210605,70905490183934,4010965043428485,104,106,1559,18,1,0,22627572982592,1180209,279031,55.859999999999985,0.0,0.0,0.0,0.0
20210605,30806358632143,8060365948967190,104,105,443,6,0,0,7913683000320,135891,86032,33.758340000000004,0.0,0.0,0.0,0.0
20210605,20306444885088,6071109189201274,301,108,2,0,0,0,5661000064,0,0,0.0,0.0,0.0,0.0,0.0
20210605,10309012621387,2050023592295759,108,0,13,0,0,0,26329999808,0,0,0.01,0.0,0.0,0.0,0.0
20210605,80904328951508,1040741437957967,315,405,4,2,0,0,335793008640,812870,48898,0.89,0.0,0.0,0.0,0.0
20210605,70100221174573,1040843424559146,405,205,54,0,0,0,3734402036480,0,0,0.0022099999999999997,0.0,0.0,0.0,0.0
20210605,60005012352827,8070830999147489,204,205,2,0,0,0,133401997312,0,0,0.05,0.0,0.0,0.0,0.0
20210605,50604428212896,1021227835982599,105,204,37,0,0,0,176068998912,0,0,0.08618999999999999,0.0,0.0,0.0,0.0
20210605,50807530695352,7001046799625997,409,0,2,1,0,0,153989996544,4416,0,0.16,0.0,0.0,0.0,0.0
20210605,60005012352827,9050584383960591,105,0,1635205,59507,1155,0,58805081070766720,1031906491,0,49928.06382999998,61775.64,0.0,52472.46000000001,9303.180000000002
20210605,90100326256701,3050156646891519,405,204,121,6,0,0,7567197991936,16683,26925,3.27,0.0,0.0,0.0,0.0
20210605,80909368092923,7061878418913926,405,205,2608,93,1,0,64066952039424,1206351,226011,138.05191,0.0,0.0,0.0,0.0
20210605,40504315369553,6011522394444276,10801,0,139309,726,9,0,741443084984256,9009453,0,5863.897700000004,5903.59,0.0,5148.71,754.88
20210605,30806358632143,8061648517048075,204,108,1418,18,0,0,23152751022592,285682,71473,131.15394000000003,0.0,0.0,0.0,0.0
20210605,70304481261296,5020886375667140,104,106,205847,24164,610,112,25094269369702400,853254206,125542873,2845.283740000003,0.0,17013.3,17013.3,0.0
20210605,20201368893836,3040440804494903,405,0,18945,251,5,0,285770556062720,3253237,0,310.95282999999995,507.23,0.0,507.23,0.0
20210605,60005012352827,5011938321578756,107,0,767,23,0,0,25156691961344,428847,0,12.53879999999999,0.0,0.0,0.0,0.0
20210605,70506421868294,1040326421014592,107,0,87351,113,4,0,121208401002944,4034528,0,95.49838000000001,70.5,0.0,70.5,0.0
20210605,50604428212896,9070265667602634,104,106,596010,2504,65,28,2580992072879808,55617981,20991175,783.2643900000007,0.0,1599.01,1230.21,368.8
20210605,60402262989318,4011608449932965,6,0,8,2,0,0,612552996864,143945,0,0.32999999999999996,0.0,0.0,0.0,0.0
20210605,30602476557982,7091317618388905,104,10801,3,1,0,0,297166999552,39737,1362,0.5599999999999999,0.0,0.0,0.0,0.0
20210605,70506421868294,5021867587107101,301,106,1,0,0,0,15271999488,0,0,0.06999999999999999,0.0,0.0,0.0,0.0
20210605,70702022115052,5090437164960441,302,0,510,3,0,0,5101889003776,136313,0,6.808069999999997,0.0,0.0,0.0,0.0
