process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,70304481261296,TME,1,10801,0,0.0,0,0,15639,0,0.0,0.0
20210605,70304481261296,TME,0,302,0,10769.532769382,201678,10755,0,0,2018.82662,0.0
20210605,80303373095787,QQ系,0,104,315,5.0,425,5,2,1,8.15,8.0
20210605,30004260366441,CSIG,0,302,205,0.0,1,0,0,0,0.0,0.0
20210605,80909368092923,IEG,1,204,108,0.0,0,0,38,0,0.0,0.0
20210605,70304481261296,TME,0,104,105,6179.024590961635,80394,5706,0,0,1273.220489999999,0.0
20210605,90503492650537,IEG,0,104,108,1.0,393,1,0,0,7.319999999999999,0.0
20210605,90503492650537,IEG,1,105,0,0.0,0,0,151,0,0.0,0.0
20210605,20306444885088,IEG,1,405,0,0.0,0,0,2245,1,0.0,56.73
20210605,60005012352827,QQ系,0,105,10801,2111.4013996720314,100127,1909,1663,8,7826.363600000001,0.0
20210605,60807476850604,TKD,1,105,0,0.0,0,0,123402,708,0.0,27114.500000000004
20210605,30806358632143,IEG,0,301,0,1210.4148198962212,54321,732,10,1,786.0927700000001,350.0
20210605,40504400147134,阅文系,1,107,0,0.0,0,0,4500,24,0.0,435.12
20210605,90603469797199,TME,0,107,0,0.0,3,0,0,0,0.0,0.0
20210605,60005012352827,QQ系,0,10010,0,7.516738414764404,68,4,8,0,0.02,0.0
20210605,20209449293196,TME,1,105,108,0.0,0,0,5,0,0.0,0.0
20210605,40903398619789,TME,0,315,0,4259.019740879536,152149,4162,30,1,964.0311699999999,1.36
20210605,30208368992837,TKD,0,301,0,1366.682265996933,92912,1217,4,0,1300.7286799999997,0.0
20210605,40604491829077,IEG,1,104,10801,0.0,0,0,7,5,0.0,0.0
20210605,40706426556602,未分组1,0,402,0,2.110015243291855,28,3,0,0,0.05309,0.0
20210605,70908422871965,阅文系,0,204,108,5.0,82,5,0,0,1.02286,0.0
20210605,80909368092923,IEG,1,104,10801,0.0,0,0,4561,159,0.0,34365.399999999994
20210605,70702022115052,TKD,1,301,0,0.0,0,0,2188063,197433,0.0,269063.52
20210605,60005012352827,QQ系,1,105,10801,0.0,0,0,27414,43,0.0,160320.4
20210605,40301325569554,TME,0,105,10801,450.73025116324425,34871,300,3,1,3105.23008,0.0
20210605,50106403385474,IEG,0,405,0,0.33000001311302185,28,1,0,0,1.0600000000000003,0.0
20210605,60005012352827,QQ系,0,405,108,149.50648856163025,10366,149,0,0,520.1300000000001,0.0
20210605,90805444657273,CSIG,0,405,204,38.84093761444092,548,38,0,0,1.01,0.0
20210605,40701410311452,QQ系,0,402,0,0.0,40,0,0,0,0.00325,0.0
20210605,60304476255988,未分组1,1,405,0,0.0,0,0,1053,6,0.0,1083.45
20210605,30506472073904,TME,0,10801,0,68096.1531189084,157427,632,1981,0,2682.1493899999996,0.0
20210605,10604328256510,TME,0,301,205,0.0,9,0,0,0,0.08,0.0
20210605,20201368893836,TKD,0,104,10010,3.0,50,3,0,0,0.03,0.0
20210605,40301325569554,TME,1,409,0,0.0,0,0,3,0,0.0,0.0
20210605,60402262989318,CSIG,0,405,409,5.428797006607056,275,5,0,0,10.982389999999999,0.0
20210605,70405412545955,IEG,0,405,205,97.29799902439117,2712,98,0,0,201.78268,0.0
20210605,40106476583359,未分组1,0,10801,0,10259.129244416952,10738,690,3977,1,1639.0034199999996,1350.98
20210605,30302471412393,QQ系,0,10801,0,526.5556933879852,52114,459,772,0,470.6578499999998,0.0
20210605,10309012621387,QQ系,0,105,204,23.0,2948,23,2054,0,39.129999999999995,0.0
20210605,70601378118790,TME,1,204,205,0.0,0,0,294,0,0.0,0.0
20210605,70609460544983,IEG,0,106,0,180.0,31406,180,1927,0,60.19436,0.0
20210605,40504315369553,未分组1,0,104,105,13.801521301269531,1021,13,0,0,14.206399999999991,0.0
20210605,60005012352827,QQ系,0,406,0,0.0,31,0,0,0,1.01,0.0
20210605,50104416453989,未分组1,1,104,0,0.0,0,0,114,2,0.0,68.33
20210605,40106476583359,阅文系,0,205,0,3182.4138618409634,1030,14,0,0,2.99,0.0
20210605,70908422871965,阅文系,0,301,205,0.0,33,0,0,0,0.0,0.0
20210605,10509414896986,IEG,1,405,205,0.0,0,0,388,2,0.0,0.0
20210605,20309460140974,IEG,0,104,105,0.0,1,0,0,0,0.19,0.0
20210605,50906420844971,IEG,0,302,0,0.0,4,0,0,0,1.4299999999999997,0.0
20210605,40106476583359,阅文系,1,104,108,0.0,0,0,11,0,0.0,0.0
20210605,70304481261296,TME,0,301,204,1.0,18,1,0,0,0.31000000000000005,0.0
20210605,70304481261296,TME,0,104,10801,16312.542799830437,35289,1507,146,1,812.2375199999998,534.0
20210605,70506421868294,TKD,0,315,405,4.0,232,4,0,0,2.8499999999999996,0.0
20210605,60005012352827,QQ系,0,405,402,471.55546057224274,17529,463,0,0,350.53115999999994,0.0
20210605,40504315369553,TME,0,205,0,500082.9288196564,407986,17340,122,0,15142.368559999995,0.0
20210605,40706426556602,QQ系,1,105,0,0.0,0,0,1394992,643,0.0,34915.270000000004
